1,"canTamper(controlAction20)","OR",0
2,"RULE 0 (Controller compromised)","AND",1
3,"controlsFlow(sPLC,controlAction20)","LEAF",1
4,"execCode(sPLC,root)","OR",0
5,"RULE 4 (remote exploit of a server program)","AND",0.2
6,"netAccess(sPLC,_,_)","OR",0
7,"RULE 7 (multi-hop access)","AND",1
8,"hacl(genPLC,sPLC,_,_)","LEAF",1
9,"execCode(genPLC,root)","OR",0
10,"RULE 4 (remote exploit of a server program)","AND",0.2
11,"netAccess(genPLC,_,_)","OR",0
12,"RULE 7 (multi-hop access)","AND",1
13,"hacl(mainPLC,genPLC,_,_)","LEAF",1
14,"execCode(mainPLC,user)","OR",0
15,"RULE 4 (remote exploit of a server program)","AND",0.2
16,"netAccess(mainPLC,_,_)","OR",0
17,"RULE 7 (multi-hop access)","AND",1
18,"hacl(genPLC,mainPLC,_,_)","LEAF",1
19,"RULE 7 (multi-hop access)","AND",1
20,"execCode(genPLC,user)","OR",0
21,"RULE 4 (remote exploit of a server program)","AND",0.2
22,"networkServiceInfo(genPLC,dropbearssh,_,_,user)","LEAF",1
23,"cvss(cve2016_7406,h)","LEAF",1
24,"vulExists(genPLC,cve2016_7406,dropbearssh,remoteExploit,privEscalation)","LEAF",1
25,"RULE 4 (remote exploit of a server program)","AND",0.2
26,"cvss(cve2016_7407,h)","LEAF",1
27,"vulExists(genPLC,cve2016_7407,dropbearssh,remoteExploit,privEscalation)","LEAF",1
28,"RULE 4 (remote exploit of a server program)","AND",0.2
29,"cvss(cve2016_7408,h)","LEAF",1
30,"vulExists(genPLC,cve2016_7408,dropbearssh,remoteExploit,privEscalation)","LEAF",1
31,"RULE 7 (multi-hop access)","AND",1
32,"hacl(mgPLC,mainPLC,_,_)","LEAF",1
33,"execCode(mgPLC,root)","OR",0
34,"RULE 4 (remote exploit of a server program)","AND",0.2
35,"netAccess(mgPLC,_,_)","OR",0
36,"RULE 7 (multi-hop access)","AND",1
37,"hacl(genPLC,mgPLC,_,_)","LEAF",1
38,"RULE 7 (multi-hop access)","AND",1
39,"RULE 7 (multi-hop access)","AND",1
40,"hacl(mainPLC,mgPLC,_,_)","LEAF",1
41,"RULE 7 (multi-hop access)","AND",1
42,"hacl(scadaWorkStation,mgPLC,_,_)","LEAF",1
43,"execCode(scadaWorkStation,user)","OR",0
44,"RULE 2 (Reuse of credentials)","AND",0.8
45,"canAccessHost(scadaWorkStation)","OR",0
46,"RULE 11 (Access a host through a log-in service)","AND",1
